parameters,simulationID,total,total_traced,total_not_traced,handled,handled_no_sla,dropped,avg_queue_time,avg_call_time,avg_drop_time,no_sla_ratio,drop_ratio
18-0.5-480-30-10-03-10-15-05,16,241,233,8,233,0,0,0.0,9.639484978540773,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,17,225,220,5,220,0,0,0.0,10.2,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,18,253,249,4,249,0,0,0.0,9.983935742971887,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,19,245,240,5,240,0,0,0.0,10.154166666666667,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,20,230,223,7,223,0,0,0.0,10.161434977578475,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,21,253,246,7,246,0,0,0.0,9.91869918699187,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,22,258,253,5,253,0,0,0.0,10.118577075098814,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,23,240,233,7,233,0,0,0.0,10.360515021459227,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,24,238,230,8,230,0,0,0.0,9.982608695652173,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,25,232,227,5,227,0,0,0.0,9.837004405286343,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,26,224,220,4,220,0,0,0.0,9.963636363636363,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,27,247,242,5,242,0,0,0.0,9.640495867768594,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,28,223,219,4,219,0,0,0.0,9.908675799086758,,0.0,0.0
18-0.5-480-30-10-03-10-15-05,29,241,239,2,239,0,0,0.0,9.97071129707113,,0.0,0.0
